Date,Fajr,Sunrise,Dhuhr,Asr,Sunset,Maghrib,Isha,Imsak,Midnight,Firstthird,Lastthird,Date_Added
01 Sep 2023,04:55 AM,06:16 AM,12:51 PM,04:32 PM,07:25 PM,07:25 PM,08:46 PM,04:45 AM,12:51 AM,11:02 PM,02:39 AM,2023-09-14
02 Sep 2023,04:57 AM,06:17 AM,12:51 PM,04:31 PM,07:23 PM,07:23 PM,08:44 PM,04:47 AM,12:50 AM,11:01 PM,02:39 AM,2023-09-14
03 Sep 2023,04:58 AM,06:18 AM,12:50 PM,04:30 PM,07:22 PM,07:22 PM,08:42 PM,04:48 AM,12:50 AM,11:00 PM,02:39 AM,2023-09-14
04 Sep 2023,04:59 AM,06:19 AM,12:50 PM,04:29 PM,07:20 PM,07:20 PM,08:40 PM,04:49 AM,12:50 AM,11:00 PM,02:40 AM,2023-09-14
05 Sep 2023,05:01 AM,06:20 AM,12:50 PM,04:28 PM,07:18 PM,07:18 PM,08:38 PM,04:51 AM,12:49 AM,10:59 PM,02:40 AM,2023-09-14
06 Sep 2023,05:02 AM,06:22 AM,12:49 PM,04:27 PM,07:16 PM,07:16 PM,08:36 PM,04:52 AM,12:49 AM,10:58 PM,02:40 AM,2023-09-14
07 Sep 2023,05:03 AM,06:23 AM,12:49 PM,04:26 PM,07:15 PM,07:15 PM,08:34 PM,04:53 AM,12:49 AM,10:57 PM,02:40 AM,2023-09-14
08 Sep 2023,05:04 AM,06:24 AM,12:49 PM,04:25 PM,07:13 PM,07:13 PM,08:32 PM,04:54 AM,12:48 AM,10:56 PM,02:40 AM,2023-09-14
09 Sep 2023,05:05 AM,06:25 AM,12:48 PM,04:24 PM,07:11 PM,07:11 PM,08:30 PM,04:55 AM,12:48 AM,10:56 PM,02:40 AM,2023-09-14
10 Sep 2023,05:07 AM,06:26 AM,12:48 PM,04:23 PM,07:09 PM,07:09 PM,08:28 PM,04:57 AM,12:48 AM,10:55 PM,02:40 AM,2023-09-14
11 Sep 2023,05:08 AM,06:27 AM,12:48 PM,04:22 PM,07:08 PM,07:08 PM,08:26 PM,04:58 AM,12:47 AM,10:54 PM,02:40 AM,2023-09-14
12 Sep 2023,05:09 AM,06:28 AM,12:47 PM,04:21 PM,07:06 PM,07:06 PM,08:24 PM,04:59 AM,12:47 AM,10:53 PM,02:40 AM,2023-09-14
13 Sep 2023,05:10 AM,06:29 AM,12:47 PM,04:20 PM,07:04 PM,07:04 PM,08:23 PM,05:00 AM,12:47 AM,10:52 PM,02:41 AM,2023-09-14
14 Sep 2023,05:12 AM,06:30 AM,12:47 PM,04:18 PM,07:03 PM,07:03 PM,08:21 PM,05:02 AM,12:46 AM,10:52 PM,02:41 AM,2023-09-14
15 Sep 2023,05:13 AM,06:31 AM,12:46 PM,04:17 PM,07:01 PM,07:01 PM,08:19 PM,05:03 AM,12:46 AM,10:51 PM,02:41 AM,2023-09-14
16 Sep 2023,05:14 AM,06:32 AM,12:46 PM,04:16 PM,06:59 PM,06:59 PM,08:17 PM,05:04 AM,12:45 AM,10:50 PM,02:41 AM,2023-09-14
17 Sep 2023,05:15 AM,06:33 AM,12:45 PM,04:15 PM,06:57 PM,06:57 PM,08:15 PM,05:05 AM,12:45 AM,10:49 PM,02:41 AM,2023-09-14
18 Sep 2023,05:16 AM,06:34 AM,12:45 PM,04:14 PM,06:55 PM,06:55 PM,08:13 PM,05:06 AM,12:45 AM,10:48 PM,02:41 AM,2023-09-14
19 Sep 2023,05:17 AM,06:35 AM,12:45 PM,04:13 PM,06:54 PM,06:54 PM,08:11 PM,05:07 AM,12:44 AM,10:47 PM,02:41 AM,2023-09-14
20 Sep 2023,05:19 AM,06:36 AM,12:44 PM,04:12 PM,06:52 PM,06:52 PM,08:09 PM,05:09 AM,12:44 AM,10:47 PM,02:41 AM,2023-09-14
21 Sep 2023,05:20 AM,06:37 AM,12:44 PM,04:10 PM,06:50 PM,06:50 PM,08:07 PM,05:10 AM,12:44 AM,10:46 PM,02:41 AM,2023-09-14
22 Sep 2023,05:21 AM,06:38 AM,12:44 PM,04:09 PM,06:48 PM,06:48 PM,08:06 PM,05:11 AM,12:43 AM,10:45 PM,02:42 AM,2023-09-14
23 Sep 2023,05:22 AM,06:39 AM,12:43 PM,04:08 PM,06:47 PM,06:47 PM,08:04 PM,05:12 AM,12:43 AM,10:44 PM,02:42 AM,2023-09-14
24 Sep 2023,05:23 AM,06:40 AM,12:43 PM,04:07 PM,06:45 PM,06:45 PM,08:02 PM,05:13 AM,12:43 AM,10:43 PM,02:42 AM,2023-09-14
25 Sep 2023,05:24 AM,06:41 AM,12:43 PM,04:06 PM,06:43 PM,06:43 PM,08:00 PM,05:14 AM,12:42 AM,10:43 PM,02:42 AM,2023-09-14
26 Sep 2023,05:25 AM,06:42 AM,12:42 PM,04:04 PM,06:41 PM,06:41 PM,07:58 PM,05:15 AM,12:42 AM,10:42 PM,02:42 AM,2023-09-14
27 Sep 2023,05:27 AM,06:43 AM,12:42 PM,04:03 PM,06:40 PM,06:40 PM,07:56 PM,05:17 AM,12:42 AM,10:41 PM,02:42 AM,2023-09-14
28 Sep 2023,05:28 AM,06:44 AM,12:42 PM,04:02 PM,06:38 PM,06:38 PM,07:55 PM,05:18 AM,12:41 AM,10:40 PM,02:42 AM,2023-09-14
29 Sep 2023,05:29 AM,06:46 AM,12:41 PM,04:01 PM,06:36 PM,06:36 PM,07:53 PM,05:19 AM,12:41 AM,10:39 PM,02:42 AM,2023-09-14
30 Sep 2023,05:30 AM,06:47 AM,12:41 PM,04:00 PM,06:35 PM,06:35 PM,07:51 PM,05:20 AM,12:41 AM,10:39 PM,02:43 AM,2023-09-14
