Ayah_Number,Juz_Number,Juz_length
1,1,148
2,1,148
3,1,148
4,1,148
5,1,148
6,1,148
7,1,148
8,1,148
9,1,148
10,1,148
11,1,148
12,1,148
13,1,148
14,1,148
15,1,148
16,1,148
17,1,148
18,1,148
19,1,148
20,1,148
21,1,148
22,1,148
23,1,148
24,1,148
25,1,148
26,1,148
27,1,148
28,1,148
29,1,148
30,1,148
31,1,148
32,1,148
33,1,148
34,1,148
35,1,148
36,1,148
37,1,148
38,1,148
39,1,148
40,1,148
41,1,148
42,1,148
43,1,148
44,1,148
45,1,148
46,1,148
47,1,148
48,1,148
49,1,148
50,1,148
51,1,148
52,1,148
53,1,148
54,1,148
55,1,148
56,1,148
57,1,148
58,1,148
59,1,148
60,1,148
61,1,148
62,1,148
63,1,148
64,1,148
65,1,148
66,1,148
67,1,148
68,1,148
69,1,148
70,1,148
71,1,148
72,1,148
73,1,148
74,1,148
75,1,148
76,1,148
77,1,148
78,1,148
79,1,148
80,1,148
81,1,148
82,1,148
83,1,148
84,1,148
85,1,148
86,1,148
87,1,148
88,1,148
89,1,148
90,1,148
91,1,148
92,1,148
93,1,148
94,1,148
95,1,148
96,1,148
97,1,148
98,1,148
99,1,148
100,1,148
101,1,148
102,1,148
103,1,148
104,1,148
105,1,148
106,1,148
107,1,148
108,1,148
109,1,148
110,1,148
111,1,148
112,1,148
113,1,148
114,1,148
115,1,148
116,1,148
117,1,148
118,1,148
119,1,148
120,1,148
121,1,148
122,1,148
123,1,148
124,1,148
125,1,148
126,1,148
127,1,148
128,1,148
129,1,148
130,1,148
131,1,148
132,1,148
133,1,148
134,1,148
135,1,148
136,1,148
137,1,148
138,1,148
139,1,148
140,1,148
141,1,148
142,1,148
143,1,148
144,1,148
145,1,148
146,1,148
147,1,148
148,1,148
149,2,111
150,2,111
151,2,111
152,2,111
153,2,111
154,2,111
155,2,111
156,2,111
157,2,111
158,2,111
159,2,111
160,2,111
161,2,111
162,2,111
163,2,111
164,2,111
165,2,111
166,2,111
167,2,111
168,2,111
169,2,111
170,2,111
171,2,111
172,2,111
173,2,111
174,2,111
175,2,111
176,2,111
177,2,111
178,2,111
179,2,111
180,2,111
181,2,111
182,2,111
183,2,111
184,2,111
185,2,111
186,2,111
187,2,111
188,2,111
189,2,111
190,2,111
191,2,111
192,2,111
193,2,111
194,2,111
195,2,111
196,2,111
197,2,111
198,2,111
199,2,111
200,2,111
201,2,111
202,2,111
203,2,111
204,2,111
205,2,111
206,2,111
207,2,111
208,2,111
209,2,111
210,2,111
211,2,111
212,2,111
213,2,111
214,2,111
215,2,111
216,2,111
217,2,111
218,2,111
219,2,111
220,2,111
221,2,111
222,2,111
223,2,111
224,2,111
225,2,111
226,2,111
227,2,111
228,2,111
229,2,111
230,2,111
231,2,111
232,2,111
233,2,111
234,2,111
235,2,111
236,2,111
237,2,111
238,2,111
239,2,111
240,2,111
241,2,111
242,2,111
243,2,111
244,2,111
245,2,111
246,2,111
247,2,111
248,2,111
249,2,111
250,2,111
251,2,111
252,2,111
253,2,111
254,2,111
255,2,111
256,2,111
257,2,111
258,2,111
259,2,111
260,3,126
261,3,126
262,3,126
263,3,126
264,3,126
265,3,126
266,3,126
267,3,126
268,3,126
269,3,126
270,3,126
271,3,126
272,3,126
273,3,126
274,3,126
275,3,126
276,3,126
277,3,126
278,3,126
279,3,126
280,3,126
281,3,126
282,3,126
283,3,126
284,3,126
285,3,126
286,3,126
287,3,126
288,3,126
289,3,126
290,3,126
291,3,126
292,3,126
293,3,126
294,3,126
295,3,126
296,3,126
297,3,126
298,3,126
299,3,126
300,3,126
301,3,126
302,3,126
303,3,126
304,3,126
305,3,126
306,3,126
307,3,126
308,3,126
309,3,126
310,3,126
311,3,126
312,3,126
313,3,126
314,3,126
315,3,126
316,3,126
317,3,126
318,3,126
319,3,126
320,3,126
321,3,126
322,3,126
323,3,126
324,3,126
325,3,126
326,3,126
327,3,126
328,3,126
329,3,126
330,3,126
331,3,126
332,3,126
333,3,126
334,3,126
335,3,126
336,3,126
337,3,126
338,3,126
339,3,126
340,3,126
341,3,126
342,3,126
343,3,126
344,3,126
345,3,126
346,3,126
347,3,126
348,3,126
349,3,126
350,3,126
351,3,126
352,3,126
353,3,126
354,3,126
355,3,126
356,3,126
357,3,126
358,3,126
359,3,126
360,3,126
361,3,126
362,3,126
363,3,126
364,3,126
365,3,126
366,3,126
367,3,126
368,3,126
369,3,126
370,3,126
371,3,126
372,3,126
373,3,126
374,3,126
375,3,126
376,3,126
377,3,126
378,3,126
379,3,126
380,3,126
381,3,126
382,3,126
383,3,126
384,3,126
385,3,126
386,4,131
387,4,131
388,4,131
389,4,131
390,4,131
391,4,131
392,4,131
393,4,131
394,4,131
395,4,131
396,4,131
397,4,131
398,4,131
399,4,131
400,4,131
401,4,131
402,4,131
403,4,131
404,4,131
405,4,131
406,4,131
407,4,131
408,4,131
409,4,131
410,4,131
411,4,131
412,4,131
413,4,131
414,4,131
415,4,131
416,4,131
417,4,131
418,4,131
419,4,131
420,4,131
421,4,131
422,4,131
423,4,131
424,4,131
425,4,131
426,4,131
427,4,131
428,4,131
429,4,131
430,4,131
431,4,131
432,4,131
433,4,131
434,4,131
435,4,131
436,4,131
437,4,131
438,4,131
439,4,131
440,4,131
441,4,131
442,4,131
443,4,131
444,4,131
445,4,131
446,4,131
447,4,131
448,4,131
449,4,131
450,4,131
451,4,131
452,4,131
453,4,131
454,4,131
455,4,131
456,4,131
457,4,131
458,4,131
459,4,131
460,4,131
461,4,131
462,4,131
463,4,131
464,4,131
465,4,131
466,4,131
467,4,131
468,4,131
469,4,131
470,4,131
471,4,131
472,4,131
473,4,131
474,4,131
475,4,131
476,4,131
477,4,131
478,4,131
479,4,131
480,4,131
481,4,131
482,4,131
483,4,131
484,4,131
485,4,131
486,4,131
487,4,131
488,4,131
489,4,131
490,4,131
491,4,131
492,4,131
493,4,131
494,4,131
495,4,131
496,4,131
497,4,131
498,4,131
499,4,131
500,4,131
501,4,131
502,4,131
503,4,131
504,4,131
505,4,131
506,4,131
507,4,131
508,4,131
509,4,131
510,4,131
511,4,131
512,4,131
513,4,131
514,4,131
515,4,131
516,4,131
517,5,124
518,5,124
519,5,124
520,5,124
521,5,124
522,5,124
523,5,124
524,5,124
525,5,124
526,5,124
527,5,124
528,5,124
529,5,124
530,5,124
531,5,124
532,5,124
533,5,124
534,5,124
535,5,124
536,5,124
537,5,124
538,5,124
539,5,124
540,5,124
541,5,124
542,5,124
543,5,124
544,5,124
545,5,124
546,5,124
547,5,124
548,5,124
549,5,124
550,5,124
551,5,124
552,5,124
553,5,124
554,5,124
555,5,124
556,5,124
557,5,124
558,5,124
559,5,124
560,5,124
561,5,124
562,5,124
563,5,124
564,5,124
565,5,124
566,5,124
567,5,124
568,5,124
569,5,124
570,5,124
571,5,124
572,5,124
573,5,124
574,5,124
575,5,124
576,5,124
577,5,124
578,5,124
579,5,124
580,5,124
581,5,124
582,5,124
583,5,124
584,5,124
585,5,124
586,5,124
587,5,124
588,5,124
589,5,124
590,5,124
591,5,124
592,5,124
593,5,124
594,5,124
595,5,124
596,5,124
597,5,124
598,5,124
599,5,124
600,5,124
601,5,124
602,5,124
603,5,124
604,5,124
605,5,124
606,5,124
607,5,124
608,5,124
609,5,124
610,5,124
611,5,124
612,5,124
613,5,124
614,5,124
615,5,124
616,5,124
617,5,124
618,5,124
619,5,124
620,5,124
621,5,124
622,5,124
623,5,124
624,5,124
625,5,124
626,5,124
627,5,124
628,5,124
629,5,124
630,5,124
631,5,124
632,5,124
633,5,124
634,5,124
635,5,124
636,5,124
637,5,124
638,5,124
639,5,124
640,5,124
641,6,110
642,6,110
